Artist_Name,Artist_ID
Creedence Clearwater Revival,1032
Michael Jackson,1033
Rascal Flatts,1034
The White Stripes,1035
Bon Jovi,1036
The Proclaimers,1037
Daryl Hall & John Oates,1038
Florida Georgia Line,1039
Neon Trees,1040
AC/DC,1041
Scorpions,1042
Journey,1043
Electric Light Orchestra,1044
Blondie,1045
John Denver,1046
The Cab,1047
Josh Thompson,1048
Billy Joel,1049
Bleachers,1050
Barenaked Ladies,1051
Twisted Sister,1052
Cutting Crew,1053
Queen,1054
Boston,1055
R.E.M.,1056
The Outfield,1057
Guns N' Roses,1058
The Deep Dixie Boys,1059
Coolio,1060
LÉON,1061
K.Flay,1062
Maisie Peters,1063
Terror Jr,1064
EXES,1065
bülow,1066
Lennon Stella,1067
Brooke Alexx,1068
Evan Blum,1069
Mating Ritual,1070
88rising,1071
Girl Wilde,1072
GALXARA,1073
Jack Newsome,1074
Meg & Dia,1075
L Devine,1076
Whethan,1077
Ashe,1078
More Giraffes,1079
The Script,1080
Hazey Eyes,1081
Trynket,1082
Refs,1083
Frawley,1084
Thomston,1085
IRIS,1086
Brooke Sierra,1087
Joseph Tilley,1088
Jena Rose,1089
Julian Daniel,1090
Ben Zaidi,1091
SONIA,1092
Cashmere Cat,1093
CALI JEWLS,1094
Sigrid,1095
REYNA,1096
Mokita,1097
James Quick,1098
Emily Vaughn,1099
RUFUS,1100
Rat City,1101
Kito,1102
Phil Good,1103
Ekali,1104
Wells*,1105
Chymes,1106
Allie X,1107
Deborah's Child,1108
Parson James,1109
Grey,1110
Hearts & Colors,1111
Becoming Young,1112
Fly By Midnight,1113
Olivia O'Brien,1114
Transviolet,1115
Glass Animals,1116
Sam Tsui,1117
prettyboyshav,1118
Annika Grace,1119
Kid Elliot,1120
Yoshi Flower,1121
Josh Arce,1122
Lauren Sanderson,1123
Oscar Louis,1124
ÊMIA,1125
Dillistone,1126
Lee Bowie,1127
Vanessa Carlton,1128
Rachel Platten,1129
Simple Plan,1130
The Click Five,1131
Paramore,1132
Melodyia Music,1133
Owl City,1134
Sean Kingston,1135
Gym Class Heroes,1136
Jason Mraz,1137
Colbie Caillat,1138
Shakira,1139
Jacques Renault,1140
a-ha,1141
Lipps Inc.,1142
Nena,1143
The Cardigans,1144
Eurythmics,1145
CeCe Peniston,1146
Jamiroquai,1147
Childish Gambino,1148
Bloodhound Gang,1149
Mohombi,1150
DJ Casper,1151
Christina Milian,1152
Kraantje Pappie,1153
Enrique Iglesias,1154
Michel Teló,1155
Iggy Azalea,1156
De Jeugd Van Tegenwoordig,1157
Iyaz,1158
Boef,1159
Timbaland,1160
Fetty Wap,1161
Drake,1162
Naughty Boy,1163
Café Amargo,1164
Sigma,1165
Klaxons,1166
Blonde,1167
Wankelmut,1168
Bomfunk MC's,1169
The Magician,1170
Route 94,1171
Kungs,1172
Secondcity,1173
Netsky,1174
Room 5,1175
Karen Harding,1176
Joe Stone,1177
MIKA,1178
Chiddy Bang,1179
Robin Thicke,1180
Kendrick Lamar,1181
Vic Mensa,1182
Desiigner,1183
Esko,1184
Lil Kleine,1185
Mr. Belt & Wezol,1186
Tujamo,1187
Yeah Yeah Yeahs,1188
Asaf Avidan & the Mojos,1189
Portugal. The Man,1190
Young Fathers,1191
Echosmith,1192
LANY,1193
Ross Lynch,1194
Jordan Fisher,1195
Bella Thorne,1196
Jeff Lewis,1197
Troy,1198
Margaret Durante,1204
Drew Ryan Scott,1205
Milo Manheim,1206
Of Monsters and Men,1209
Shake,1210
YG,1211
Christian Leave,1212
Big Sean,1213
Pharrell Williams,1214
He Is We,1215
Don Omar,1216
Kid Cudi,1217
Macklemore & Ryan Lewis,1218
Lil Jon,1219
Nayer,1220
Baby Blue,1221
Gwen Stefani,1222
G-Eazy,1223
Luis Fonsi,1224
Dolapdere Big Gang,1225
Ylvis,1226
Jay Sean,1227
3OH!3,1228
Akon,1229
Ashlee Simpson,1230
Christina Aguilera,1231
Michelle Branch,1232
Liz Phair,1233
Alanis Morissette,1234
Josha Daniel,1235
MGMT,1236
New Spell,1237
The Able Bodies,1238
Röyksopp,1239
teepee,1240
INTET,1241
dolorifics,1242
Sacred Animals,1243
Strath,1244
Imitating Aeroplanes,1245
Nathaniel Stewart,1246
The Bergamot,1247
Electric Shore,1248
Perttu,1249
Devin Farney,1250
KEV,1251
Bildjan,1252
Steve Angello,1253
Futurist,1254
Carl Louis,1255
Hause Plants,1256
Roosevelt,1257
Moli,1258
The Restless Age,1259
Maximum Love,1260
So So Sun,1261
Dance Yourself Clean,1262
Kirmont,1263
TOFFE,1264
East Harbor,1265
Michael Moawad,1266
Eva Simons,1267
Willy William,1268
AlunaGeorge,1269
Stefflon Don,1270
Sak Noel,1271
Edward Maya,1272
Jack Ü,1273
Heikki L,1274
Neon Dreams,1275
Famba,1276
Gesaffelstein,1277
RÜFÜS DU SOL,1278
Slushii,1279
Kehlani,1280
Cash Cash,1281
Rudimental,1282
Massari,1283
Shawn Desman,1284
FLETCHER,1285
Lo Lo,1286
Lauren Daigle,1287
Fefe Dobson,1288
LU KALA,1289
GRiZ,1290
Two Feet,1291
Lil Wayne,1292
Madcon,1293
Javiera Mena,1294
Pol Del Sur,1295
El Último Vecino,1296
Gepe,1297
Ruzzi,1298
Dapuntobeat,1299
El Guincho,1300
LOS PILOTOS,1301
Petit Biscuit,1302
Fuff,1303
L. Starz,1304
Deep Chills,1305
Rae Sremmurd,1306
Breakbot,1307
Bingo Players,1308
M.I.A.,1309
TheFatRat,1310
Elektronomia,1311
Cartoon,1312
Jetta,1313
Yall,1314
Zonoma,1315
The.madpix.project,1316
Snoop Dogg,1317
Ian Storm,1318
Jay-C,1319
Kxa,1320
Janelle Monáe,1321
Jidenna,1322
B.o.B,1323
Paolo Nutini,1324
OutKast,1325
Jeezy,1326
Big Boi,1327
Wale,1328
Future,1329
Logic,1330
SZA,1331
Mr. Pig,1332
Dillon Francis,1333
Fanvel,1334
Papa Wave,1335
SOLANO,1336
1Kilo,1337
Liu,1338
DROELOE,1339
Erasure,1340
Alphaville,1341
Frankie Goes To Hollywood,1342
Depeche Mode,1343
Roxette,1344
KVSH,1345
Jacala,1346
Sub Urban,1347
pewdiepie,1348
Blanco Brown,1349
Confetti,1350
KALEO,1351
Scotty Sire,1352
Lil Peep,1353
Timmy Trumpet,1354
Prismo,1355
Kina,1356
Bleeke,1357
Mike Vallas,1358
Silent Child,1359
Besomorph,1360
Doja Cat,1361
Thutmose,1362
Sean&Bobo,1363
True Damage,1364
Hippie Sabotage,1365
Bohnes,1366
grandson,1367
AViVA,1368
Unlike Pluto,1369
Nexy,1370
updog,1371
Jacob Tillberg,1372
8 Graves,1373
Ansel Elgort,1374
